"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1971706067492262191","Fri Sep 26 22:38:53 +0000 2025","6","Presiden Kolombia Gustavo Petro mengumumkan dia akan membuka daftar relawan bersedia berjuang untuk membebaskan Palestina dari penjajahan Israel dan kesiapannya untuk berpartisipasi secara pribadi.","1971706067492262191","","","in","","0","0","2","https://x.com/undefined/status/1971706067492262191","1250486881",
"1971705944028729549","Fri Sep 26 22:38:24 +0000 2025","0","@Menlu_RI Sugiono dari New York ; Pendudukan harus di akhiri. Masa depan Gaza harus jadi milik dan dipimpin oleh Palestina bukan oleh pihak luar . Semoga sgr terlaksana agar genosida sgr berakhir dan Palestina merdeka penjahat perang dijatuhi sangsi. https://t.co/KR1r6OzG5S","1971705944028729549","","Menlu_RI","in","","0","0","0","https://x.com/undefined/status/1971705944028729549","86012022",
"1971704208920662517","Fri Sep 26 22:37:47 +0000 2025","2","@SoftWarNews Ide prabowo baik. Ini rencana taktikal diplomasi. Tujuannya agar Palestina mendapat pengakuan sebagai negara berdaulat sesegera mungkin. Diterima sejajar sebagai nation state dalam forum PBB..tujuan strategisya tetap harus diperjuangkan jangka panjang. Cara ini mirip Indonesia..","1971705789103682005","","SoftWarNews","in","","0","1","0","https://x.com/undefined/status/1971705789103682005","1637974851750359040",
"1971399323729658125","Fri Sep 26 22:37:09 +0000 2025","0","@AndiPrasep59608 @detikcom Tdk ada data dan fakta Hamas itu perjuangan yg mewakili rakyat Palestina. Hamas sangat kentara opera sabun utk Israhell masuk ke area Gaza. Bnyk muslim terkecoh trik jahatnya Israhell. Wallahu alam","1971705632186421437","","AndiPrasep59608","in","","0","1","0","https://x.com/undefined/status/1971705632186421437","1956988493080772608",
"1971036427032068541","Fri Sep 26 22:35:11 +0000 2025","0","@gincumirrah @MangAddang Presiden @prabowo lagi serius teriakan kemerdekaan Palestina di sidang umum PBB. Wapres @gibran_tweet lagi serius obok tas siswa sekolah wanita yg gak jelas apa maksud nya. Negoro OPO Iki","1971705137443074164","","gincumirrah","in","","0","0","0","https://x.com/undefined/status/1971705137443074164","2462313205",
"1971704208920662517","Fri Sep 26 22:31:30 +0000 2025","43","Pertanyaannya bukanlah apakah Israel punya hak untuk hidup. Pertanyaannya adalah: bagaimana hal itu bisa ada jika fondasinya adalah penghapusan bangsa lain? Bagaimana mungkin proyek yang dibangun di atas kuburan Palestina mengklaim perdamaian dengan Palestina? Kolonialisme https://t.co/e9n4fTSrOA","1971704208920662517","https://pbs.twimg.com/media/G1zmdKNb0AM9WGy.jpg","","in","","0","3","17","https://x.com/undefined/status/1971704208920662517","2256063276",
"1971604967355285754","Fri Sep 26 22:30:01 +0000 2025","9","@erlanishere Isnotreal dg sengaja menggunakan persenjataan yg mengandung radioaktif &amp; toxic yg dilarang krn mereka bukan hanya ingin memb@ntai yg hidup saat ini tapi jg menghancurkan masa depan Palestina. Karma will get them &amp; their supporters! https://t.co/S7FtZqrRdE https://t.co/CiRM0zhnTH","1971703834914574700","https://pbs.twimg.com/media/G1zmMDMb0AAXZ7u.jpg","erlanishere","in","","0","0","4","https://x.com/undefined/status/1971703834914574700","1754476063747674112",
"1971703274106769771","Fri Sep 26 22:27:47 +0000 2025","4","Sudah berapa kali PBB membahas pembebasan Palestina? Sudah berapa kali KTT mengadakan pertemuan dan membahas hal yg sama? Semua pertemuan itu tanpa makna Para pemimpin dunia pintar ber retorika tetapi tak ada nyali untuk mengirimkan bala tentaranya. Termasuk konoha ‍️","1971703274106769771","","","in","","0","0","3","https://x.com/undefined/status/1971703274106769771","1750417688084799488",
"1971702991708475445","Fri Sep 26 22:26:40 +0000 2025","6","yg bikin warga palestina bertahan sampe detik ini apa coba kalau bukan karena keimanan mereka? ","1971702991708475445","","","in","","0","0","0","https://x.com/undefined/status/1971702991708475445","1330273831",
"1971465929428234642","Fri Sep 26 22:22:56 +0000 2025","0","@CNNIndonesia Bangga??? @mohmahfudmd Emang taringnya Indonesia apa sok sok menjamin keselamatan Israel? Punya berapa Nuke Indonesia?? Klo ngga tahu sejarahnya Palestina-Israel jangan berkoar! Yg dibasmi Israel itu Hammas!","1971702050980577305","","CNNIndonesia","in","","0","0","0","https://x.com/undefined/status/1971702050980577305","1571687120",
